R,G,B
0.540283,0.637739,0.824251
0.540904,0.638343,0.824802
0.540602,0.637917,0.824393
0.541348,0.638610,0.825033
0.541189,0.638450,0.824891
0.540958,0.638272,0.824749
0.541331,0.638521,0.825122
0.541491,0.638858,0.825388
0.540176,0.637917,0.824536
0.541082,0.638485,0.824962
0.540301,0.637722,0.824198
0.540318,0.637739,0.824145
0.539999,0.637491,0.823896
0.541313,0.638574,0.824980
0.539856,0.637526,0.823843
0.538773,0.636567,0.822901
0.540194,0.637828,0.824429
0.541810,0.639107,0.825637
0.540762,0.638201,0.824891
0.540869,0.638201,0.824784
0.539697,0.637278,0.823612
0.538453,0.636336,0.822653
0.539004,0.636745,0.823132
0.538897,0.636674,0.823026
0.539750,0.637544,0.823843
0.539270,0.636976,0.823292
0.540407,0.637988,0.824322
0.540887,0.638343,0.824731
0.540922,0.638379,0.824784
0.540709,0.638272,0.824713
0.542361,0.639729,0.826365
0.540780,0.638254,0.824713
0.540212,0.637668,0.823967
0.541224,0.638645,0.824891
0.542183,0.639391,0.825850
0.540869,0.638166,0.824536
0.542432,0.639515,0.825956
0.542752,0.639853,0.826347
0.542290,0.639267,0.825814
0.542041,0.639214,0.825619
0.540656,0.637899,0.824287
0.540105,0.637491,0.823701
0.540691,0.637988,0.824251
0.542361,0.639604,0.825921
0.543835,0.640954,0.827590
0.545629,0.642890,0.829669
0.542201,0.638912,0.825708
0.540567,0.637917,0.824287
0.540087,0.637615,0.823878
0.539679,0.637242,0.823559
0.540549,0.638024,0.824269
0.540549,0.638148,0.824482
0.538951,0.636656,0.822919
0.538897,0.636869,0.823186
0.537281,0.635395,0.821658
0.539288,0.636922,0.823044
0.539075,0.636585,0.822688
0.538844,0.636532,0.822688
0.539785,0.637189,0.823346
0.540194,0.637615,0.823665
0.540407,0.637668,0.823754
0.540407,0.637668,0.823701
0.540585,0.637864,0.823949
0.540549,0.637775,0.823861
0.540478,0.637739,0.823807
0.540389,0.637633,0.823630
0.540087,0.637473,0.823452
0.539182,0.636603,0.822671
0.538595,0.636123,0.822191
0.539217,0.636620,0.822706
0.540318,0.637757,0.823843
0.540212,0.637810,0.823896
0.539892,0.637384,0.823434
0.538027,0.635732,0.821729
0.538649,0.636247,0.822298
0.543871,0.640883,0.827431
0.539412,0.636869,0.822919
0.539377,0.636869,0.822511
0.538560,0.636123,0.822156
0.540602,0.637775,0.823825
0.538560,0.636052,0.822013
0.537636,0.635306,0.821214
0.540229,0.637420,0.823452
0.538773,0.636212,0.822244
0.540549,0.637651,0.823665
0.539164,0.636301,0.822244
0.539466,0.636851,0.822688
0.540265,0.637473,0.823470
0.540194,0.637455,0.823470
0.540212,0.637473,0.823452
0.539768,0.637153,0.823079
0.539856,0.637100,0.823097
0.540123,0.637313,0.823257
0.540709,0.637704,0.823630
0.540691,0.637704,0.823612
0.540709,0.637704,0.823612
0.540691,0.637686,0.823594
0.540727,0.637739,0.823683
0.540620,0.637615,0.823523
0.540549,0.637597,0.823470
0.540620,0.637633,0.823523
0.540656,0.637739,0.823612
0.540798,0.637793,0.823665
0.540816,0.637793,0.823736
0.540851,0.637793,0.823701
0.540780,0.637739,0.823647
0.540798,0.637775,0.823665
0.541739,0.638450,0.824589
0.541171,0.638219,0.824163
0.540549,0.637579,0.823470
0.540549,0.637597,0.823452
0.540496,0.637544,0.823417
0.540105,0.637242,0.823061
0.539750,0.636905,0.822653
0.540425,0.637544,0.823292
0.540602,0.637597,0.823363
0.539999,0.637100,0.822884
0.539182,0.636407,0.822120
0.539821,0.637029,0.822671
0.539750,0.636887,0.822600
0.538631,0.635910,0.821623
0.540052,0.637224,0.822848
0.540301,0.637295,0.822990
0.540229,0.637224,0.822973
0.539768,0.636869,0.822617
0.539661,0.636780,0.822511
0.539501,0.636727,0.822440
0.539235,0.636496,0.822298
0.540407,0.637704,0.823630
0.539448,0.636727,0.822706
0.540798,0.637846,0.823825
0.539164,0.636585,0.822422
0.540158,0.637331,0.822795
0.538613,0.635981,0.821623
0.539874,0.637171,0.822777
0.539253,0.636691,0.822457
0.540851,0.638041,0.823878
0.539945,0.637135,0.822848
0.539856,0.637082,0.822759
0.538205,0.635679,0.821356
0.539182,0.636567,0.822244
0.537583,0.635217,0.820877
0.538453,0.635981,0.821569
0.538276,0.635786,0.821427
0.539661,0.636905,0.822546
0.538844,0.636425,0.821925
0.538951,0.636532,0.822031
0.539359,0.636709,0.822351
0.539430,0.636745,0.822351
0.539466,0.636798,0.822404
0.539235,0.636585,0.822191
0.538365,0.635803,0.821410
0.537246,0.634755,0.820326
0.538098,0.635519,0.821143
0.540602,0.637757,0.823328
0.538702,0.635768,0.821321
0.539199,0.636141,0.821747
0.539111,0.636318,0.822049
0.537992,0.634951,0.820735
0.536730,0.633992,0.819385
0.537654,0.635128,0.820521
0.536926,0.634453,0.819847
0.538365,0.635768,0.821356
0.538293,0.635786,0.821392
0.538436,0.636088,0.821694
0.543995,0.641256,0.827448
0.539519,0.636745,0.822475
0.538365,0.635484,0.820948
0.538968,0.636105,0.821516
0.539306,0.635874,0.821392
0.539182,0.635608,0.821143
0.539022,0.636034,0.821516
0.538347,0.635519,0.821001
0.538169,0.635395,0.820930
0.538862,0.635963,0.821410
0.539146,0.636123,0.821605
0.539519,0.636496,0.821960
0.539590,0.636496,0.821978
0.539111,0.636141,0.821605
0.538258,0.635466,0.820877
0.537885,0.635128,0.820521
0.538134,0.635466,0.820806
0.537672,0.634933,0.820326
0.536997,0.634418,0.819758
0.537814,0.634986,0.820344
0.539075,0.636194,0.821498
0.539377,0.636265,0.821640
0.539288,0.636212,0.821569
0.538453,0.635501,0.820859
0.538098,0.635235,0.820575
0.539643,0.636372,0.821942
0.538276,0.635555,0.821072
0.538453,0.635608,0.820894
0.538027,0.635075,0.820344
0.537565,0.634613,0.819900
0.536517,0.633743,0.819065
0.536464,0.633743,0.819047
0.536233,0.633619,0.819030
0.535381,0.632944,0.818106
0.537388,0.634720,0.820060
0.536997,0.634276,0.819491
0.537210,0.634507,0.819829
0.537654,0.634738,0.820113
0.537032,0.634258,0.819491
0.536748,0.634045,0.819260
0.536659,0.633921,0.819118
0.536677,0.633956,0.819118
0.534617,0.632233,0.817413
0.536482,0.633796,0.818976
0.536500,0.633708,0.818905
0.536269,0.633477,0.818728
0.536588,0.634098,0.819331
0.536251,0.633867,0.819207
0.536642,0.634240,0.819633
0.536926,0.634613,0.820042
0.536748,0.634223,0.819545
0.536979,0.634276,0.819474
0.536873,0.634169,0.819349
0.537263,0.634382,0.819598
0.537583,0.634631,0.819793
0.538720,0.635732,0.821001
0.538809,0.635750,0.820983
0.538773,0.635697,0.820948
0.538826,0.635768,0.821001
0.538773,0.635715,0.820948
0.538382,0.635448,0.820664
0.537725,0.634951,0.820166
0.537388,0.634755,0.820006
0.537015,0.634436,0.819616
0.537832,0.635040,0.820237
0.539306,0.636052,0.821481
0.539199,0.636301,0.821623
0.539039,0.636105,0.821410
0.538542,0.635732,0.821019
0.537405,0.634809,0.820095
0.538578,0.635803,0.821143
0.538862,0.636123,0.821534
0.537139,0.634418,0.819616
0.537175,0.634382,0.819580
0.538862,0.636052,0.821125
0.539501,0.636496,0.821765
0.538809,0.635626,0.820894
0.538826,0.635821,0.820966
0.538826,0.635821,0.820983
0.538613,0.635608,0.820752
0.538595,0.635484,0.820593
0.538897,0.635697,0.820966
0.539093,0.635945,0.821338
0.538578,0.635715,0.821214
0.537370,0.634720,0.820220
0.537068,0.634027,0.819545
0.538968,0.635679,0.821108
0.536215,0.633317,0.818603
0.537050,0.634080,0.819403
0.535363,0.632695,0.818017
0.538293,0.635217,0.820664
0.536748,0.634027,0.819420
0.538240,0.635342,0.820806
0.536482,0.633796,0.819296
0.536375,0.633708,0.819225
0.538258,0.635057,0.820770
0.538613,0.635786,0.821552
0.538293,0.635430,0.821161
0.538187,0.635253,0.820752
0.536624,0.634098,0.819527
0.543569,0.640155,0.825939
0.537263,0.634489,0.819953
0.542077,0.638627,0.824536
0.538631,0.635253,0.820717
0.538151,0.634826,0.820006
0.538453,0.635164,0.820379
0.537903,0.634969,0.819900
0.537103,0.634098,0.819065
0.536411,0.633583,0.818461
0.535594,0.632660,0.817573
0.535754,0.632837,0.817768
0.536500,0.633441,0.818390
0.536819,0.633743,0.818657
0.536304,0.633210,0.818177
0.537743,0.634613,0.819562
0.537548,0.634311,0.819260
0.537672,0.634542,0.819420
0.536659,0.633494,0.818284
0.536855,0.633867,0.818745
0.536162,0.633441,0.818284
0.536748,0.634027,0.818745
0.536624,0.633761,0.818550
0.537228,0.634329,0.819047
0.537548,0.634560,0.819403
0.537334,0.634418,0.819243
0.537796,0.634738,0.819527
0.538169,0.635093,0.819882
0.538613,0.635501,0.820344
0.537832,0.634898,0.819758
0.538453,0.635519,0.820433
0.538649,0.635821,0.820752
0.536322,0.633512,0.818301
0.536748,0.634063,0.818745
0.536642,0.633921,0.818728
0.536944,0.634258,0.819207
0.537103,0.634347,0.819118
0.537299,0.634311,0.819065
0.537281,0.634311,0.819012
0.537228,0.634258,0.818958
0.537192,0.634187,0.818923
0.537139,0.634187,0.818923
0.537103,0.634152,0.818887
0.536997,0.634098,0.818781
0.535700,0.632997,0.817680
0.534599,0.632216,0.816845
0.533587,0.631345,0.815921
0.533871,0.631505,0.816046
0.534848,0.632411,0.816934
0.532414,0.630351,0.814802
0.533551,0.631345,0.815939
0.532610,0.630475,0.815069
0.533391,0.631203,0.815815
0.534546,0.632464,0.817609
0.533089,0.630919,0.815690
0.533267,0.630954,0.815584
0.532219,0.630084,0.814731
0.532397,0.630457,0.814909
0.532716,0.630653,0.815406
0.533942,0.631665,0.816401
0.535558,0.633015,0.817875
0.534652,0.632109,0.816792
0.535132,0.632482,0.817147
0.535096,0.632446,0.817111
0.534972,0.632304,0.816916
0.535008,0.632358,0.816969
0.534830,0.632216,0.816774
0.534208,0.631558,0.816152
0.534599,0.631949,0.816561
0.534510,0.631878,0.816436
0.534262,0.631594,0.816117
0.534350,0.631647,0.816152
0.534812,0.632216,0.816649
0.534812,0.632073,0.816614
0.534795,0.632038,0.816525
0.534457,0.631718,0.816223
0.534795,0.632038,0.816454
0.534919,0.632073,0.816561
0.536056,0.632979,0.817520
0.536109,0.633068,0.817555
0.536642,0.633388,0.818053
0.536517,0.633512,0.818106
0.536322,0.633299,0.817893
0.535949,0.632962,0.817467
0.535842,0.632855,0.817324
0.535789,0.632784,0.817271
0.535754,0.632766,0.817271
0.535363,0.632500,0.816987
0.534475,0.631718,0.816170
0.535167,0.632358,0.816703
0.536056,0.632979,0.817431
0.536233,0.633104,0.817555
0.536162,0.633050,0.817538
0.535789,0.632784,0.817271
0.534795,0.632038,0.816596
0.535381,0.632589,0.817094
0.536500,0.633335,0.817822
0.536517,0.633352,0.817786
0.536517,0.633335,0.817768
0.536500,0.633317,0.817751
0.536535,0.633335,0.817768
0.536588,0.633352,0.817768
0.536695,0.633423,0.817857
0.536606,0.633388,0.817786
0.535842,0.632855,0.817200
0.535842,0.632926,0.817538
0.537210,0.633921,0.818692
0.537334,0.634365,0.819172
0.535381,0.632393,0.816987
0.535132,0.632287,0.816863
0.536588,0.633423,0.817964
0.535434,0.632411,0.816792
0.536002,0.633139,0.817591
0.534812,0.631807,0.816419
0.535540,0.632535,0.816898
0.535363,0.632393,0.816721
0.533622,0.630901,0.815264
0.535771,0.632713,0.817076
0.535789,0.632713,0.817058
0.535771,0.632695,0.817076
0.535771,0.632624,0.816934
0.535736,0.632606,0.816916
0.535487,0.632375,0.816649
0.533232,0.630528,0.814820
0.535363,0.632340,0.816596
0.535594,0.632500,0.816809
0.535487,0.632393,0.816685
0.535239,0.632180,0.816490
0.534493,0.631576,0.815868
0.534493,0.631541,0.815815
0.535167,0.632304,0.816490
0.535114,0.632198,0.816472
0.536730,0.633459,0.817715
0.536890,0.633636,0.818017
0.537175,0.633921,0.818355
0.537032,0.633885,0.818284
0.535789,0.632819,0.817236
0.534173,0.631097,0.815406
0.534581,0.631665,0.815744
0.534706,0.631629,0.815850
0.533853,0.630919,0.815104
0.533711,0.630795,0.815015
0.533782,0.630653,0.814785
0.534102,0.630706,0.814962
0.533835,0.630919,0.815015
0.533747,0.630883,0.815015
0.533498,0.630617,0.814660
0.532077,0.629551,0.813346
0.532166,0.629445,0.813488
0.533853,0.630759,0.814856
0.534919,0.631807,0.815868
0.535132,0.631896,0.815992
0.535221,0.631967,0.816063
0.535274,0.631985,0.816099
0.535256,0.631967,0.816046
0.535274,0.632002,0.816046
0.535185,0.631914,0.815957
0.535114,0.631878,0.815921
0.535096,0.631825,0.815904
0.535025,0.631789,0.815779
0.534759,0.631505,0.815495
0.534635,0.631381,0.815371
0.534581,0.631327,0.815353
0.534333,0.631168,0.815122
0.531828,0.629143,0.812991
0.532201,0.629463,0.813310
0.534120,0.631026,0.814891
0.530514,0.627935,0.811765
0.532308,0.629605,0.813381
0.530727,0.628166,0.811960
0.532930,0.629978,0.813843
0.533445,0.630457,0.814269
0.532574,0.629711,0.813595
0.533072,0.630155,0.813968
0.531811,0.628965,0.812831
0.534386,0.631150,0.815104
0.535043,0.631772,0.815850
0.533249,0.630475,0.814518
0.533445,0.630315,0.814163
0.534031,0.630795,0.814607
0.532432,0.629480,0.813310
0.533604,0.630439,0.814287
0.533960,0.630830,0.814731
0.533853,0.630777,0.814714
0.533214,0.630137,0.813968
0.533072,0.630013,0.813861
0.533143,0.630173,0.813985
0.533178,0.630191,0.814021
0.533160,0.630209,0.814021
0.533001,0.630013,0.813861
0.532219,0.629391,0.813222
0.531669,0.628930,0.812760
0.531473,0.628681,0.812387
0.533391,0.630475,0.814234
0.534137,0.630972,0.814785
0.533462,0.630510,0.814305
0.535043,0.631807,0.815637
0.535629,0.632429,0.816365
0.537778,0.634453,0.818532
0.533853,0.630670,0.814589
0.532805,0.629924,0.813612
0.533391,0.630670,0.814412
0.533391,0.630422,0.814021
0.532947,0.630049,0.813648
0.532859,0.629907,0.813719
0.533889,0.631114,0.814767
0.531313,0.628788,0.812316
0.531313,0.628699,0.812245
0.532468,0.629534,0.813079
0.533160,0.629995,0.813595
0.532734,0.629409,0.812973
0.532379,0.629001,0.812493
0.532397,0.629285,0.812795
0.531988,0.628930,0.812405
0.532983,0.629782,0.813275
0.532841,0.629711,0.813204
0.530496,0.627882,0.811250
0.529537,0.627207,0.810522
0.531704,0.628876,0.812369
0.532787,0.629729,0.813151
0.533285,0.629995,0.813506
0.533462,0.630084,0.813648
0.533498,0.630084,0.813666
0.533214,0.629924,0.813470
0.532361,0.629320,0.812902
0.531953,0.629090,0.812582
0.529661,0.627065,0.810628
0.531882,0.628930,0.812493
0.531367,0.628663,0.812085
0.531740,0.628770,0.812262
0.531846,0.628841,0.812245
0.530709,0.627917,0.811339
0.530656,0.627846,0.811250
0.530532,0.627686,0.811090
0.530656,0.627757,0.811215
0.531118,0.628113,0.811481
0.531970,0.628752,0.812191
0.532539,0.629320,0.812795
0.532379,0.629232,0.812724
0.532645,0.629391,0.812866
0.532716,0.629551,0.813062
0.532361,0.629214,0.812564
0.531242,0.628255,0.811534
0.531065,0.628006,0.811303
0.530976,0.627882,0.811179
0.530905,0.627846,0.811126
0.530709,0.627669,0.810930
0.530709,0.627633,0.810913
0.530585,0.627491,0.810788
0.530585,0.627598,0.810948
0.529697,0.626816,0.810042
0.529697,0.626940,0.810184
0.529164,0.626301,0.809616
0.530478,0.627544,0.810913
0.530905,0.627917,0.811286
0.532077,0.628876,0.812262
0.532841,0.629622,0.813008
0.531242,0.627988,0.811268
0.530283,0.627225,0.810451
0.530390,0.627296,0.810451
0.530052,0.626923,0.810113
0.530532,0.627456,0.810628
0.530407,0.627296,0.810415
0.530834,0.627740,0.810788
0.531526,0.628237,0.811374
0.531793,0.628468,0.811641
0.531899,0.628592,0.811801
0.532414,0.629036,0.812209
0.531526,0.628290,0.811428
0.531580,0.628326,0.811463
0.531242,0.628042,0.811197
0.531509,0.628273,0.811339
0.531757,0.628361,0.811428
0.531686,0.628344,0.811392
0.530905,0.627633,0.810717
0.531544,0.628184,0.811286
0.531899,0.628468,0.811516
0.531882,0.628486,0.811570
0.531864,0.628486,0.811552
0.531580,0.628273,0.811303
0.531011,0.627811,0.810877
0.530550,0.627384,0.810433
0.531242,0.627988,0.810966
0.531296,0.627971,0.810966
0.531065,0.627757,0.810788
0.530390,0.627296,0.810255
0.528543,0.625733,0.808799
0.530674,0.627491,0.810451
0.529164,0.626372,0.809261
0.529981,0.627065,0.809882
0.529661,0.626603,0.809509
0.532166,0.628610,0.811765
0.531278,0.627793,0.811001
0.531420,0.627971,0.810877
0.531473,0.628042,0.811001
0.530141,0.626798,0.809723
0.531189,0.627811,0.810664
0.531455,0.628006,0.810877
0.531633,0.628184,0.811037
0.531580,0.628113,0.810984
0.531597,0.628130,0.811001
0.531597,0.628113,0.811001
